cliente,poupanca,cdb,renda,segmentacao,seguro
871042348,"838,00","7295,00","60787,00",40,1
788316686,"1095,00","7686,00","43476,00",40,1
825317686,"11,00","2152,00","12582,00",60,1
781794359,"272,00","7497,00","88789,00",40,0
716835487,"686,00","1821,00","22968,00",50,1
735824314,"822,00","4518,00","94271,00",55,1
883631459,"1146,00","1273,00","87120,00",40,1
864614764,"820,00","5596,00","64704,00",40,1
847830726,"610,00","3956,00","92200,00",40,1
817696050,"876,00","9045,00","38073,00",40,1
836226983,"1228,00","6584,00","62624,00",20,1
746336118,"85,00","5747,00","13637,00",35,0
897410803,"1414,00","5518,00","85664,00",40,0
842334624,"1481,00","6912,00","69616,00",10,0
726719276,"484,00","4980,00","71845,00",50,1
789333181,"983,00","2721,00","88162,00",20,0
865522720,"899,00","9459,00","51687,00",40,0
891194172,"606,00","8784,00","91377,00",40,1
706874040,"917,00","6117,00","27509,00",38,0
725607129,"330,00","2054,00","28813,00",42,1
751455058,"569,00","9000,00","83938,00",40,0
707825713,"621,00","9911,00","57315,00",55,1
780319526,"1012,00","5766,00","95165,00",40,1
886389762,"852,00","6218,00","39384,00",38,0
786537656,"1119,00","965,00","50184,00",50,1
880041096,"1443,00","4596,00","29977,00",70,1
806999237,"1278,00","3365,00","25113,00",40,1
706119244,"646,00","319,00","7972,00",40,1
866965089,"230,00","246,00","50413,00",20,0
751969143,"999,00","9336,00","96421,00",50,1
870227070,"764,00","9898,00","85394,00",20,1
761877447,"627,00","2059,00","92344,00",40,1
791828162,"1013,00","7072,00","45698,00",35,1
815472898,"98,00","4831,00","26552,00",45,1
741214259,"880,00","931,00","70804,00",34,0
775199299,"1182,00","7320,00","72082,00",60,1
822570441,"1100,00","3855,00","72490,00",40,1
899342379,"103,00","6282,00","56005,00",40,0
815195336,"839,00","3589,00","65253,00",40,0
825234906,"1011,00","7069,00","86943,00",30,0
897469720,"1036,00","3789,00","42044,00",40,1
799872353,"1381,00","3450,00","24748,00",20,1
738788079,"124,00","5620,00","41242,00",40,1
700565380,"50,00","3500,00","55714,00",40,0
758377048,"345,00","9092,00","11392,00",30,0
877880191,"385,00","6773,00","72097,00",45,0
799980341,"1162,00","9251,00","70954,00",40,1
851543795,"1039,00","3338,00","7778,00",40,0
876828817,"1242,00","2788,00","20764,00",60,1
784913924,"1442,00","3543,00","43806,00",12,1
810144321,"25,00","2523,00","88415,00",40,1
795852858,"769,00","4049,00","45379,00",40,1
802780182,"354,00","4299,00","57488,00",75,1
875346126,"102,00","8593,00","77341,00",24,1
871736760,"169,00","6011,00","36308,00",40,1
877041327,"972,00","4335,00","83404,00",45,0
801590971,"1219,00","5726,00","13330,00",40,0
811244474,"1121,00","7245,00","27341,00",40,1
895851334,"712,00","3383,00","64423,00",24,1
779121348,"1328,00","3742,00","90290,00",98,1
793527885,"1339,00","2700,00","70826,00",35,1
773355187,"544,00","4385,00","44698,00",40,0
810547276,"505,00","157,00","19278,00",40,1
759879437,"1426,00","7465,00","43362,00",40,1
864929878,"1047,00","925,00","79459,00",40,0
754230801,"433,00","2418,00","14471,00",40,0
883886163,"422,00","6155,00","56324,00",48,0
781373869,"889,00","1515,00","59663,00",15,0
781316107,"298,00","7154,00","49638,00",40,1
828479105,"209,00","2624,00","25240,00",45,0
874866509,"874,00","3672,00","32101,00",42,0
788161782,"691,00","283,00","38977,00",40,1
800098896,"622,00","1206,00","76145,00",40,1
870305368,"78,00","8939,00","10229,00",60,1
820953722,"654,00","5185,00","69025,00",45,1
712119489,"966,00","3252,00","74432,00",40,0
854196870,"1308,00","3887,00","8229,00",40,1
719965296,"529,00","561,00","33844,00",45,1
772660724,"717,00","1525,00","89908,00",40,0
767289817,"23,00","101,00","57644,00",56,1
857726169,"1037,00","4153,00","75732,00",45,1
888441397,"486,00","9950,00","95936,00",40,0
893642375,"1123,00","3902,00","53032,00",16,1
839010659,"610,00","3771,00","64994,00",60,0
871080654,"809,00","7741,00","39512,00",40,0
733600919,"426,00","5741,00","50354,00",40,1
859024619,"78,00","878,00","71480,00",80,1
868649186,"243,00","9213,00","99129,00",40,1
755094585,"146,00","8606,00","35137,00",25,0
841288622,"1198,00","5924,00","13971,00",45,1
805197194,"1339,00","4463,00","72567,00",40,1
888586498,"414,00","1462,00","70364,00",40,0
742614276,"1271,00","3982,00","31114,00",40,0
701253149,"561,00","5201,00","47512,00",45,1
811056360,"1235,00","7885,00","54548,00",33,0
771667751,"188,00","454,00","81100,00",40,1
860687896,"167,00","3670,00","97036,00",54,1
880500939,"769,00","1891,00","50130,00",40,1
823692150,"668,00","1238,00","53338,00",35,1
825153298,"728,00","1581,00","67853,00",25,0
747715501,"1254,00","4207,00","47806,00",40,0
765616997,"1273,00","3941,00","75716,00",15,1
880772231,"1152,00","231,00","6784,00",40,1
881276377,"440,00","339,00","79925,00",40,1
727284135,"816,00","9027,00","77631,00",40,0
770787184,"746,00","682,00","25490,00",40,0
827382481,"1025,00","7569,00","92980,00",24,0
714833500,"695,00","6660,00","46140,00",40,1
824045641,"1116,00","6382,00","41684,00",50,1
889701877,"908,00","6781,00","78421,00",45,1
876842039,"1444,00","6084,00","17392,00",40,0
852803855,"1279,00","9487,00","16428,00",10,1
736877707,"1043,00","7846,00","44318,00",45,1
807216327,"1242,00","7545,00","73482,00",15,0
723018479,"327,00","7714,00","60952,00",50,0
731814322,"635,00","5008,00","13371,00",40,1
820701403,"1414,00","1566,00","45350,00",55,1
880588215,"140,00","190,00","85733,00",45,1
875926587,"325,00","2626,00","92947,00",40,1
706337139,"536,00","2574,00","10160,00",40,1
870711317,"1495,00","6063,00","15360,00",40,1
750308295,"1337,00","3973,00","61583,00",40,1
862901944,"979,00","8375,00","88421,00",48,1
813827417,"233,00","792,00","35636,00",40,1
751407219,"1228,00","2338,00","32031,00",60,1
746985313,"363,00","3210,00","32508,00",30,1
714398444,"1437,00","9821,00","84878,00",40,1
862578167,"384,00","2533,00","84377,00",40,1
867698989,"229,00","4351,00","67389,00",40,1
823441693,"29,00","1107,00","50837,00",40,1
736466595,"1398,00","6749,00","57393,00",20,1
723890674,"273,00","1666,00","44962,00",40,0
736489307,"1021,00","483,00","75366,00",42,1
860121753,"1006,00","9051,00","86021,00",8,1
761227286,"293,00","7589,00","54772,00",40,0
882228500,"1195,00","6229,00","17758,00",25,1
884521502,"1356,00","1532,00","70340,00",25,1
867109671,"1277,00","5564,00","30122,00",40,1
862163621,"74,00","4489,00","22146,00",40,1
725343530,"1118,00","2422,00","34690,00",40,1
771912726,"117,00","3971,00","40325,00",30,1
837499522,"997,00","1479,00","16994,00",40,1
722810990,"364,00","7046,00","77365,00",40,1
740933061,"1179,00","1335,00","67597,00",40,1
820675389,"92,00","753,00","98157,00",40,1
794555190,"239,00","3034,00","35842,00",35,0
855433678,"273,00","9514,00","99711,00",40,1
727206928,"464,00","5646,00","48848,00",24,0
713662688,"136,00","5766,00","55465,00",40,1
719043227,"1017,00","2596,00","66574,00",45,1
880533823,"937,00","8975,00","24903,00",45,1
721814218,"53,00","6636,00","82951,00",55,1
721756827,"405,00","2194,00","22344,00",40,1
743316936,"1174,00","7503,00","81496,00",45,1
898546563,"939,00","65,00","99951,00",15,0
806899312,"706,00","2855,00","60900,00",45,0
715751314,"717,00","9509,00","95502,00",40,0
855175516,"597,00","1095,00","85534,00",15,0
811832921,"556,00","5199,00","90262,00",10,1
857627400,"864,00","490,00","60020,00",38,1
724261624,"1166,00","8599,00","49233,00",40,1
767217085,"168,00","6460,00","10290,00",40,1
888089798,"1385,00","7924,00","44509,00",10,0
867339750,"871,00","2090,00","50995,00",40,0
810131179,"1122,00","9602,00","66897,00",40,1
776350052,"871,00","2618,00","15778,00",30,1
895554305,"655,00","1008,00","74973,00",50,1
704569598,"15,00","4670,00","85731,00",40,1
855182597,"283,00","2439,00","90516,00",45,0
763322297,"273,00","4923,00","72742,00",40,1
785887408,"99,00","219,00","87651,00",40,0
835469554,"596,00","432,00","44571,00",40,0
766796803,"760,00","5753,00","7943,00",25,0
763573260,"316,00","6303,00","57962,00",40,1
752379719,"296,00","9312,00","52077,00",6,0
879771924,"617,00","3312,00","14270,00",16,0
849685515,"1154,00","5963,00","60418,00",40,0
778409022,"422,00","3651,00","14939,00",40,0
749130110,"1118,00","1722,00","85779,00",50,1
859223608,"799,00","2444,00","88954,00",40,1
822355403,"1025,00","4503,00","38543,00",45,1
889446068,"1001,00","4119,00","32761,00",35,0
821105498,"130,00","9682,00","97432,00",40,1
844507495,"1195,00","9200,00","5091,00",40,0
800144965,"149,00","7958,00","81590,00",35,0
889464494,"1131,00","9391,00","91913,00",55,1
865498193,"94,00","2045,00","36144,00",50,1
809982653,"940,00","7979,00","73314,00",40,1
715348137,"767,00","2774,00","98661,00",40,0
749256932,"1500,00","2104,00","32130,00",40,1
721554745,"1311,00","7949,00","36904,00",64,0
865145918,"88,00","2110,00","34597,00",40,1
899821274,"1281,00","3484,00","80543,00",65,1
702754609,"369,00","7496,00","34286,00",40,1
769058302,"15,00","4676,00","64042,00",25,1
847537748,"619,00","5367,00","81095,00",40,0
716603079,"446,00","996,00","13156,00",50,1
751657396,"702,00","5094,00","15584,00",24,0
704904068,"318,00","4508,00","85569,00",40,0
733885588,"1118,00","6443,00","32537,00",40,0
794459843,"286,00","5385,00","82246,00",60,1
765989952,"1021,00","9795,00","95147,00",40,1
862715434,"1123,00","7230,00","86511,00",50,1
854598238,"212,00","8428,00","87801,00",40,1
792901155,"578,00","5826,00","64466,00",19,0
888451389,"1338,00","9053,00","20327,00",40,1
742206102,"437,00","2013,00","48846,00",40,0
881295089,"501,00","7873,00","37836,00",30,1
705094053,"1388,00","8865,00","67195,00",18,1
838121210,"1075,00","3035,00","62814,00",40,0
723001301,"857,00","4871,00","64303,00",40,1
797874383,"66,00","8307,00","25749,00",35,0
892236387,"1337,00","5023,00","93346,00",60,1
753029571,"939,00","7604,00","17774,00",40,1
851889094,"1384,00","5613,00","99208,00",72,1
762694912,"927,00","1236,00","77367,00",40,1
735333065,"787,00","2913,00","83072,00",40,1
811295239,"627,00","5770,00","33953,00",24,1
712980448,"1254,00","1277,00","67686,00",40,1
722765985,"1175,00","3598,00","26167,00",40,0
788951533,"87,00","9495,00","16642,00",25,0
826979931,"35,00","1855,00","87792,00",40,1
717014780,"471,00","1392,00","85867,00",50,1
850410751,"746,00","4383,00","64902,00",60,1
826415726,"896,00","4865,00","91808,00",40,0
729503014,"566,00","4034,00","20195,00",40,1
879055210,"769,00","4103,00","70305,00",40,0
738688186,"138,00","4738,00","7752,00",40,1
777030558,"425,00","79,00","19808,00",28,0
704405903,"1154,00","5138,00","85693,00",40,1
893075825,"334,00","1192,00","58596,00",40,1
813929637,"469,00","5228,00","41246,00",40,1
873311812,"521,00","6900,00","6659,00",35,1
798450736,"953,00","8661,00","45220,00",40,0
857450921,"1487,00","4321,00","74185,00",40,1
802065733,"1440,00","1142,00","84569,00",40,1
749829024,"444,00","9073,00","35616,00",5,0
773483280,"854,00","6743,00","90820,00",40,0
757114049,"734,00","4461,00","55581,00",55,1
719990178,"587,00","1724,00","55301,00",40,1
765151934,"437,00","5754,00","17627,00",40,1
731185326,"30,00","9591,00","37969,00",40,0
766162502,"481,00","1376,00","52601,00",40,1
754026976,"381,00","2064,00","59893,00",40,0
854523740,"1363,00","9073,00","44308,00",50,1
724787099,"1251,00","1263,00","99250,00",60,1
798940705,"16,00","311,00","78964,00",40,1
734638081,"884,00","6973,00","54545,00",40,1
763267262,"109,00","9436,00","92312,00",40,1
824005571,"1130,00","5028,00","86430,00",50,1
708143733,"22,00","8555,00","76388,00",40,1
719828779,"652,00","4655,00","96394,00",20,0
759562935,"518,00","4152,00","94116,00",60,0
705919845,"813,00","2647,00","11954,00",40,1
705240075,"856,00","5438,00","65472,00",40,1
859278302,"1326,00","4222,00","82182,00",45,1
880120388,"404,00","7250,00","33042,00",16,0
807190140,"861,00","5786,00","25174,00",40,1
761520477,"178,00","5499,00","62929,00",40,1
827043686,"1269,00","5189,00","21756,00",40,1
823398098,"158,00","912,00","9898,00",60,1
791972132,"557,00","4560,00","43451,00",24,0
737337607,"434,00","6065,00","63284,00",40,0
882755001,"542,00","8949,00","56962,00",6,1
772408529,"720,00","1893,00","69875,00",30,1
765073794,"840,00","7689,00","13587,00",40,1
782609034,"309,00","7254,00","35883,00",35,0
849540504,"1216,00","1951,00","72622,00",45,1
702778868,"1276,00","9456,00","16332,00",20,1
891347194,"1079,00","1155,00","84772,00",20,1
753413832,"661,00","4589,00","90051,00",40,0
781490587,"179,00","7786,00","50403,00",40,1
711620380,"169,00","4935,00","92792,00",20,0
870002934,"724,00","7366,00","80458,00",35,1
797520963,"569,00","1789,00","97399,00",45,1
834289602,"472,00","742,00","13476,00",40,0
788892148,"1239,00","6819,00","10892,00",60,1
856480357,"468,00","4856,00","93294,00",35,0
875945369,"1427,00","4076,00","25698,00",40,1
849715101,"1458,00","6485,00","99924,00",60,0
845327803,"911,00","9456,00","20195,00",25,0
724701822,"640,00","9300,00","54378,00",20,1
808135557,"855,00","394,00","98369,00",36,0
818024192,"311,00","6499,00","50840,00",40,1
709626678,"953,00","7888,00","90576,00",40,1
818984809,"564,00","260,00","90752,00",35,0
855154210,"1360,00","6284,00","12442,00",20,1
891817176,"1471,00","1672,00","45130,00",40,1
812493614,"191,00","6142,00","24540,00",40,1
757580724,"1316,00","4475,00","88136,00",40,1
888221252,"989,00","7865,00","60982,00",42,0
790788789,"185,00","6981,00","51892,00",40,0
786244393,"851,00","1368,00","20080,00",40,1
818754881,"1092,00","5742,00","84490,00",8,1
829246539,"1070,00","1360,00","53141,00",40,1
858847824,"124,00","3604,00","88253,00",40,0
826076787,"1207,00","1621,00","24688,00",40,0
765517116,"956,00","3478,00","14018,00",42,1
895487201,"313,00","1889,00","56614,00",30,0
713406129,"782,00","7027,00","60406,00",45,1
782739724,"1119,00","809,00","7924,00",50,1
846558085,"275,00","6896,00","60743,00",45,1
832222407,"1348,00","9905,00","87910,00",38,0
761208310,"692,00","9658,00","48469,00",20,0
786216210,"308,00","326,00","63327,00",24,1
748641389,"257,00","9414,00","65731,00",35,0
775346292,"1227,00","3559,00","70821,00",50,1
845893819,"895,00","4342,00","91597,00",80,1
736168162,"1090,00","3257,00","50688,00",50,1
869647190,"95,00","8375,00","32542,00",50,1
850037386,"975,00","531,00","47636,00",45,1
739553365,"730,00","780,00","53629,00",58,1
837274352,"767,00","3681,00","76541,00",40,0
831658101,"465,00","8461,00","16341,00",40,1
882170839,"705,00","3411,00","30979,00",9,0
893861923,"1396,00","289,00","61273,00",50,1
706225322,"559,00","547,00","69376,00",40,1
859923561,"1297,00","3267,00","53513,00",46,0
875897575,"762,00","8609,00","71806,00",40,1
825940966,"260,00","5627,00","21611,00",40,1
832022019,"930,00","2900,00","56383,00",50,0
716234201,"629,00","8452,00","75466,00",48,1
793822160,"377,00","9915,00","5834,00",50,1
729922750,"243,00","1673,00","63400,00",30,0
732357702,"192,00","798,00","45590,00",40,1
894183009,"432,00","1578,00","37653,00",45,0
865469153,"1351,00","4360,00","56785,00",40,0
777259956,"884,00","9608,00","57314,00",40,1
816245467,"300,00","4176,00","16022,00",40,1
758985355,"588,00","8304,00","72586,00",40,0
745235408,"603,00","9823,00","39993,00",40,1
897144117,"11,00","1991,00","93955,00",50,1
736686492,"46,00","125,00","53990,00",45,0
845975429,"126,00","1957,00","8891,00",8,0
742783696,"641,00","937,00","99469,00",40,1
812966753,"1137,00","8578,00","20023,00",36,1
897057148,"407,00","7562,00","45820,00",40,1
819591666,"176,00","3665,00","32227,00",50,1
856840738,"919,00","2295,00","60139,00",40,0
751577310,"684,00","3113,00","52685,00",40,0
761025553,"69,00","7136,00","16259,00",40,0
838609426,"915,00","3222,00","97975,00",40,0
857620593,"1473,00","5694,00","99937,00",40,0
739162382,"1219,00","9389,00","54661,00",40,1
708191328,"48,00","3330,00","12422,00",20,0
873574060,"448,00","6622,00","45399,00",32,0
783602221,"1348,00","1211,00","28487,00",40,1
750891001,"1451,00","891,00","23152,00",55,1
776274936,"887,00","5220,00","70526,00",35,1
878833259,"1470,00","4838,00","8007,00",50,1
745147716,"417,00","277,00","40537,00",40,0
791041082,"816,00","2037,00","9148,00",60,1
735565771,"1264,00","2087,00","91696,00",48,1
834262546,"1139,00","9821,00","25492,00",45,1
860455653,"875,00","2589,00","67776,00",40,0
846142381,"1370,00","649,00","95172,00",35,1
752471124,"516,00","198,00","98972,00",42,1
740723253,"145,00","7901,00","68696,00",40,1
888601695,"339,00","7715,00","12533,00",40,1
775741764,"899,00","629,00","53896,00",12,1
816390829,"1033,00","7458,00","25115,00",40,1
878487642,"901,00","7861,00","55567,00",70,0
869926534,"237,00","6517,00","20794,00",40,1
783716725,"1036,00","1055,00","62529,00",25,1
727775254,"961,00","3349,00","20079,00",35,0
819311017,"87,00","764,00","38102,00",40,0
835788932,"442,00","7179,00","35216,00",45,1
747633539,"1428,00","2890,00","93147,00",30,1
775107145,"693,00","2599,00","47937,00",40,1
820526179,"1234,00","1299,00","62719,00",40,1
807709498,"133,00","5522,00","21252,00",40,1
774466701,"333,00","7329,00","17582,00",40,1
864680581,"238,00","2366,00","5748,00",24,0
723480665,"1148,00","5893,00","99475,00",60,1
870188718,"1255,00","9557,00","21154,00",40,1
898066579,"624,00","451,00","46686,00",47,1
809433183,"1378,00","4355,00","96234,00",80,1
728832744,"533,00","1122,00","48943,00",40,1
871990388,"1228,00","3774,00","66499,00",40,0
837082609,"1124,00","7281,00","38138,00",48,1
731720439,"904,00","5279,00","92219,00",40,1
827667296,"958,00","7049,00","69450,00",40,0
887439623,"1355,00","9525,00","74959,00",40,1
791619562,"391,00","4627,00","64157,00",25,0
889803922,"334,00","1325,00","98653,00",50,1
830088044,"796,00","4052,00","41702,00",40,1
752292270,"816,00","4063,00","26380,00",45,0
772724833,"251,00","6143,00","35706,00",40,1
